latitude,longitude,city,numberofcalls,bouroughs,state,zipcode,location
40.70586461,-74.00376907,NEW YORK,20,MANHATTAN, NY,10038,Club/Bar/Restaurant
40.68555676,-73.84149102,OZONE PARK,32,QUEENS, NY,11416,Club/Bar/Restaurant
40.64595269,-73.95197214,,42,BROOKLYN, NY,11226,Club/Bar/Restaurant
40.87959654,-73.90430103,BRONX,17,BRONX, NY,10463,Club/Bar/Restaurant
40.7602542,-73.98904452,NEW YORK,11,MANHATTAN, NY,10036,Club/Bar/Restaurant
40.63980683,-73.95130637,,26,BROOKLYN, NY,11226,Club/Bar/Restaurant
40.66071028,-73.99409972,,30,BROOKLYN, NY,11215,Club/Bar/Restaurant
40.72100987,-73.95542824,,102,BROOKLYN, NY,11249,Club/Bar/Restaurant
40.75624515,-73.92120466,LONG ISLAND CITY,129,QUEENS, NY,11101,Club/Bar/Restaurant
40.68689522,-73.99090992,,23,BROOKLYN, NY,11201,Club/Bar/Restaurant
40.75803956,-73.79561736,FLUSHING,15,QUEENS, NY,11358,Club/Bar/Restaurant
40.75578209,-73.883331,JACKSON HEIGHTS,57,QUEENS, NY,11372,Club/Bar/Restaurant
40.75045253,-73.98729207,NEW YORK,15,MANHATTAN, NY,10001,Club/Bar/Restaurant
40.88956351,-73.89903879,BRONX,16,BRONX, NY,10471,Club/Bar/Restaurant
40.7581599,-73.9625937,NEW YORK,92,MANHATTAN, NY,10022,Club/Bar/Restaurant
40.79578676,-73.94676079,NEW YORK,11,MANHATTAN, NY,10029,Club/Bar/Restaurant
40.67915413,-73.98342993,,1513,BROOKLYN, NY,11217,Club/Bar/Restaurant
40.80285303,-73.95650039,NEW YORK,91,MANHATTAN, NY,10026,Club/Bar/Restaurant
40.72951901,-73.99981238,NEW YORK,120,MANHATTAN, NY,10012,Club/Bar/Restaurant
40.80746061,-73.919309,BRONX,76,BRONX, NY,10454,Club/Bar/Restaurant
40.73321576,-73.98992216,NEW YORK,65,MANHATTAN, NY,10003,Club/Bar/Restaurant
40.72386918,-73.98388421,NEW YORK,40,MANHATTAN, NY,10009,Club/Bar/Restaurant
